"","year","agency","funding_class","sum_rev","agency_total_budget","proportion"
"690",2018,"District Attorney -Richmond County","STATE",577009.01,15433418.64,0.04
"691",2018,"Fire Department","FEDERAL - OTHER",69819607.2300001,2091634155.39,0.03
"692",2018,"Fire Department","STATE",22202640,2091634155.39,0.01
"693",2018,"Health and Hospitals Corporation","FEDERAL - OTHER",11416736.05,872023822.75,0.01
"694",2018,"Housing Preservation and Development","FEDERAL - OTHER",493117531.700002,1000774167.38,0.49
"695",2018,"Housing Preservation and Development","STATE",-1270709.15,1000774167.38,0
"696",2018,"Law Department","FEDERAL - OTHER",0,227205501.44,0
"697",2018,"Mayoralty","FEDERAL - OTHER",110864114.58,128782651.62,0.86
"698",2018,"Mayoralty","STATE",4625481.75,128782651.62,0.04
"699",2018,"Miscellaneous","FEDERAL - OTHER",221563.69,9302680572.38,0
"700",2018,"Miscellaneous","STATE",795405547.899999,9302680572.38,0.09
"701",2018,"NYC Taxi and Limousine Commission","FEDERAL - OTHER",-1.13686837721616e-13,45734510.56,0
"702",2018,"Office of Administrative Trials and Hearings","FEDERAL - OTHER",0,NA,NA
"703",2018,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",103532.85,22184198.42,0
"704",2018,"Office of Prosecution - Special Narcotics","STATE",835520.55,22184198.42,0.04
"705",2018,"Police Department","FEDERAL - OTHER",251238690.22,5788377457.44,0.04
"706",2018,"Police Department","STATE",64171333.61,5788377457.44,0.01
"707",2019,"Administration for Children's Services","FEDERAL - OTHER",1439645384.64,3149237864.53999,0.46
"708",2019,"Administration for Children's Services","STATE",1166844519.64,3149237864.53999,0.37
"709",2019,"Board of Elections","FEDERAL - OTHER",0,172927232.12,0
"710",2019,"Borough President - Bronx","FEDERAL - OTHER",150607.38,4986726.58,0.03
"711",2019,"Borough President - Brooklyn","FEDERAL - OTHER",-3.63797880709171e-12,6383534.81,0
"712",2019,"Borough President - Brooklyn","STATE",163013.79,6383534.81,0.03
"713",2019,"Borough President - Queens","FEDERAL - OTHER",149168.03,5716842.49,0.03
"714",2019,"Business Integrity Commission","FEDERAL - OTHER",183629.64,8770708.34,0.02
"715",2019,"Campaign Finance Board","FEDERAL - OTHER",0,25395088.2,0
"716",2019,"City Clerk","STATE",0,5577040.35,0
"717",2019,"City University of New York","STATE",263316567,1252097241.33,0.21
"718",2019,"Civilian Complaint Review Board","FEDERAL - OTHER",0,18458685.53,0
"719",2019,"Commission on Human Rights","FEDERAL - OTHER",286500,13257184.18,0.02
"720",2019,"Commission on Human Rights","STATE",0,13257184.18,0
"721",2019,"DEPARTMENT OF VETERANS' SERVICES","STATE",327442,4141990.74,0.08
"722",2019,"Debt Service","FEDERAL - OTHER",197160189.55,6373133327.49,0.03
"723",2019,"Department for the Aging","FEDERAL - OTHER",70647626.26,388223559.58,0.18
"724",2019,"Department for the Aging","STATE",42683033.09,388223559.58,0.11
"725",2019,"Department of Buildings","FEDERAL - OTHER",0,173247280.39,0
"726",2019,"Department of City Planning","FEDERAL - OTHER",1656811.87,40072536.1999999,0.04
"727",2019,"Department of City Planning","STATE",187611.11,40072536.1999999,0
"728",2019,"Department of Citywide Administrative Services","FEDERAL - OTHER",519478.03,1280021933.82,0
"729",2019,"Department of Citywide Administrative Services","STATE",4008805.77999999,1280021933.82,0
"730",2019,"Department of Consumer Affairs","FEDERAL - OTHER",0,42274824.13,0
"731",2019,"Department of Consumer Affairs","STATE",1919463,42274824.13,0.05
"732",2019,"Department of Correction","FEDERAL - OTHER",459449.22,1374536728.09,0
"733",2019,"Department of Correction","STATE",1094253.07,1374536728.09,0
"734",2019,"Department of Cultural Affairs","STATE",216044.51,205087286.3,0
"735",2019,"Department of Design and Construction","FEDERAL - OTHER",46308.55,286806783.68,0
"736",2019,"Department of Education","FEDERAL - OTHER",2190042983.56,27066849185.89,0.08
"737",2019,"Department of Education","STATE",11633142504.62,27066849185.89,0.43
"738",2019,"Department of Emergency Management","FEDERAL - OTHER",35290852.54,58965461.44,0.6
"739",2019,"Department of Environmental Protection","FEDERAL - OTHER",3354667.17,1433007394.89,0
"740",2019,"Department of Environmental Protection","STATE",742081.97,1433007394.89,0
"741",2019,"Department of Health and Mental Hygiene","FEDERAL - OTHER",271890034.199999,1782768852.84,0.15
"742",2019,"Department of Health and Mental Hygiene","STATE",563849037.92,1782768852.84,0.32
"743",2019,"Department of Homeless Services","FEDERAL - OTHER",626114434.22,2184141576.24,0.29
"744",2019,"Department of Homeless Services","STATE",156928379.37,2184141576.24,0.07
"745",2019,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",1811350.65,675510818.350001,0
"746",2019,"Department of Information Technology and Telecommunications","STATE",858944.52,675510818.350001,0
"747",2019,"Department of Investigation","FEDERAL - OTHER",5462352.24,49120137.79,0.11
"748",2019,"Department of Parks and Recreation","FEDERAL - OTHER",410988.800000001,563626608.599999,0
"749",2019,"Department of Parks and Recreation","STATE",3053241.43,563626608.599999,0.01
"750",2019,"Department of Probation","FEDERAL - OTHER",606977.44,114159216.4,0.01
"751",2019,"Department of Probation","STATE",13533191.55,114159216.4,0.12
"752",2019,"Department of Records and Information Services","STATE",12900,9785771.68,0
"753",2019,"Department of Sanitation","FEDERAL - OTHER",564909,1762369192.24,0
"754",2019,"Department of Sanitation","STATE",967526.17,1762369192.24,0
"755",2019,"Department of Small Business Services","FEDERAL - OTHER",52927949.87,244549085.57,0.22
"756",2019,"Department of Small Business Services","STATE",3333665.49,244549085.57,0.01
"757",2019,"Department of Social Services","FEDERAL - OTHER",1642854070.63,10243106826.41,0.16
"758",2019,"Department of Social Services","STATE",629754861.13,10243106826.41,0.06
"759",2019,"Department of Transportation","FEDERAL - OTHER",75578125.5900001,1040372690.92,0.07
"760",2019,"Department of Transportation","STATE",177117471.63,1040372690.92,0.17
"761",2019,"Department of Youth and Community Development","FEDERAL - OTHER",76568009.8900001,872002513.85,0.09
"762",2019,"Department of Youth and Community Development","STATE",9079877,872002513.85,0.01
"763",2019,"District Attorney - Bronx County","FEDERAL - OTHER",762626.57,83443348.7499999,0.01
"764",2019,"District Attorney - Bronx County","STATE",3648266.49,83443348.7499999,0.04
"765",2019,"District Attorney - New York County","FEDERAL - OTHER",1196689.44,119111014.46,0.01
"766",2019,"District Attorney - New York County","STATE",9014284.73,119111014.46,0.08
"767",2019,"District Attorney - Queens County","FEDERAL - OTHER",430047.860000001,70018759.04,0.01
"768",2019,"District Attorney - Queens County","STATE",3928690.72,70018759.04,0.06
"769",2019,"District Attorney -Kings County","FEDERAL - OTHER",561174.76,110501539.3,0.01
"770",2019,"District Attorney -Kings County","STATE",3041525.14,110501539.3,0.03
"771",2019,"District Attorney -Richmond County","FEDERAL - OTHER",303653.54,16936329.69,0.02
"772",2019,"District Attorney -Richmond County","STATE",846115.26,16936329.69,0.05
"773",2019,"Financial Information Services Agency","FEDERAL - OTHER",0,111255665.16,0
"774",2019,"Fire Department","FEDERAL - OTHER",79634294.2800002,2114027839.78,0.04
"775",2019,"Fire Department","STATE",22141439.42,2114027839.78,0.01
"776",2019,"Health and Hospitals Corporation","FEDERAL - OTHER",1030523.11,1034600578.91,0
"777",2019,"Housing Preservation and Development","FEDERAL - OTHER",586088036.910002,1090448943.47,0.54
"778",2019,"Housing Preservation and Development","STATE",1532964.89,1090448943.47,0
"779",2019,"Landmarks Preservation Commission","STATE",48750,6220772.08,0.01
"780",2019,"Law Department","FEDERAL - OTHER",0,254074666.18,0
"781",2019,"Mayoralty","FEDERAL - OTHER",123487442.23,146581000.48,0.84
"782",2019,"Mayoralty","STATE",5937227.96,146581000.48,0.04
"783",2019,"Miscellaneous","FEDERAL - OTHER",-3971537.56,9927454170.15,0
"784",2019,"Miscellaneous","STATE",851420281.56,9927454170.15,0.09
"785",2019,"NYC Taxi and Limousine Commission","FEDERAL - OTHER",0,47896912.94,0
"786",2019,"Office of Administrative Trials and Hearings","FEDERAL - OTHER",0,NA,NA
"787",2019,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",84982.03,23292327.35,0
"788",2019,"Office of Prosecution - Special Narcotics","STATE",825000,23292327.35,0.04
"789",2019,"Police Department","FEDERAL - OTHER",197137409.569999,5976818446.84001,0.03
"790",2019,"Police Department","STATE",66974641.18,5976818446.84001,0.01
"791",2019,"Public Advocate","STATE",0,3021848.55,0
"792",2020,"Administration for Children's Services","FEDERAL - OTHER",1025331760.04,2646360346.93001,0.39
"793",2020,"Administration for Children's Services","STATE",706846053.44,2646360346.93001,0.27
"794",2020,"Board of Elections","STATE",10315791.64,222093280.55,0.05
"795",2020,"Borough President - Bronx","FEDERAL - OTHER",310764.59,5154037.73,0.06
"796",2020,"Borough President - Brooklyn","FEDERAL - OTHER",0,6677904.28,0
"797",2020,"Borough President - Brooklyn","STATE",219500,6677904.28,0.03
"798",2020,"Borough President - Queens","FEDERAL - OTHER",378552.69,5687421.25,0.07
"799",2020,"Business Integrity Commission","FEDERAL - OTHER",50868.4,8809434.01999999,0.01
"800",2020,"City Clerk","STATE",0,5506511.38,0
"801",2020,"City University of New York","STATE",245899457,1255110554.05,0.2
"802",2020,"Commission on Human Rights","FEDERAL - OTHER",320700,12155372.63,0.03
"803",2020,"Commission on Human Rights","STATE",0,12155372.63,0
"804",2020,"Debt Service","FEDERAL - OTHER",186332717.79,6553573987.1,0.03
"805",2020,"Department for the Aging","FEDERAL - OTHER",101020622.37,423982105.73,0.24
"806",2020,"Department for the Aging","STATE",44449888.9500001,423982105.73,0.1
"807",2020,"Department of City Planning","FEDERAL - OTHER",1801443.62,43014007.3600001,0.04
"808",2020,"Department of City Planning","STATE",168398.28,43014007.3600001,0
"809",2020,"Department of Citywide Administrative Services","FEDERAL - OTHER",423839.74,1839808788.29,0
"810",2020,"Department of Citywide Administrative Services","STATE",70389361.78,1839808788.29,0.04
"811",2020,"Department of Consumer Affairs","STATE",1346925.53,41536924.86,0.03
"812",2020,"Department of Correction","FEDERAL - OTHER",274151.08,1287216511.6,0
"813",2020,"Department of Correction","STATE",479875.840000001,1287216511.6,0
"814",2020,"Department of Cultural Affairs","STATE",0,209860485.68,0
"815",2020,"Department of Design and Construction","FEDERAL - OTHER",68925.85,347151679.62,0
"816",2020,"Department of Education","FEDERAL - OTHER",1732157699.08,28066521893.77,0.06
"817",2020,"Department of Education","STATE",11572325680.7401,28066521893.77,0.41
"818",2020,"Department of Emergency Management","FEDERAL - OTHER",26126051.52,257893413.63,0.1
"819",2020,"Department of Environmental Protection","FEDERAL - OTHER",4584077.88,1382811429.78,0
"820",2020,"Department of Environmental Protection","STATE",811330.31,1382811429.78,0
"821",2020,"Department of Finance","STATE",0,310094306.32,0
"822",2020,"Department of Health and Mental Hygiene","FEDERAL - OTHER",356883697.379999,1860295037.49,0.19
"823",2020,"Department of Health and Mental Hygiene","STATE",307701508.259999,1860295037.49,0.17
"824",2020,"Department of Homeless Services","FEDERAL - OTHER",550779162.479999,2369186743.74999,0.23
"825",2020,"Department of Homeless Services","STATE",220761141.34,2369186743.74999,0.09
"826",2020,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",1455205.57,821682858.6,0
"827",2020,"Department of Information Technology and Telecommunications","STATE",2524679,821682858.6,0
"828",2020,"Department of Investigation","FEDERAL - OTHER",13492187.68,53174828.2200001,0.25
"829",2020,"Department of Investigation","STATE",134756.91,53174828.2200001,0
"830",2020,"Department of Parks and Recreation","FEDERAL - OTHER",524041.639999999,567210123.72,0
"831",2020,"Department of Parks and Recreation","STATE",2546601.97,567210123.72,0
"832",2020,"Department of Probation","FEDERAL - OTHER",88911.34,114276373.8,0
"833",2020,"Department of Probation","STATE",13505733.48,114276373.8,0.12
"834",2020,"Department of Records and Information Services","FEDERAL - OTHER",107215,9600548.01,0.01
"835",2020,"Department of Records and Information Services","STATE",528067,9600548.01,0.06
"836",2020,"Department of Sanitation","FEDERAL - OTHER",31907837.49,2103204201.94,0.02
"837",2020,"Department of Sanitation","STATE",3076084.12,2103204201.94,0
"838",2020,"Department of Small Business Services","FEDERAL - OTHER",39784160.86,340110216.080001,0.12
"839",2020,"Department of Small Business Services","STATE",-5602378.15,340110216.080001,-0.02
"840",2020,"Department of Social Services","FEDERAL - OTHER",1493409834.39,10555945920.39,0.14
"841",2020,"Department of Social Services","STATE",720665646.589999,10555945920.39,0.07
"842",2020,"Department of Transportation","FEDERAL - OTHER",104665593.21,1094126482.22,0.1
"843",2020,"Department of Transportation","STATE",230124487.63,1094126482.22,0.21
"844",2020,"Department of Veterans' Services","STATE",412000,NA,NA
"845",2020,"Department of Youth and Community Development","FEDERAL - OTHER",105950875.31,955158081.349999,0.11
"846",2020,"Department of Youth and Community Development","STATE",7014617,955158081.349999,0.01
"847",2020,"District Attorney - Bronx County","FEDERAL - OTHER",1395001.54,86241628.22,0.02
"848",2020,"District Attorney - Bronx County","STATE",3496384.53,86241628.22,0.04
"849",2020,"District Attorney - New York County","FEDERAL - OTHER",1718731.28,141082620.35,0.01
"850",2020,"District Attorney - New York County","STATE",15458741.38,141082620.35,0.11
"851",2020,"District Attorney - Queens County","FEDERAL - OTHER",1137124.79,72993217.04,0.02
"852",2020,"District Attorney - Queens County","STATE",5395109.19,72993217.04,0.07
"853",2020,"District Attorney -Kings County","FEDERAL - OTHER",993499.69,117154986.7,0.01
"854",2020,"District Attorney -Kings County","STATE",4551974.43,117154986.7,0.04
"855",2020,"District Attorney -Richmond County","FEDERAL - OTHER",-1053290.41,18584285,-0.06
"856",2020,"District Attorney -Richmond County","STATE",831003.49,18584285,0.04
"857",2020,"Fire Department","FEDERAL - OTHER",80861880.8799998,2174496782.94999,0.04
"858",2020,"Fire Department","STATE",20916331.21,2174496782.94999,0.01
"859",2020,"Health and Hospitals Corporation","FEDERAL - OTHER",7640009.59,830222105.64,0.01
"860",2020,"Housing Preservation and Development","FEDERAL - OTHER",451645163.729999,1129780678.6,0.4
"861",2020,"Housing Preservation and Development","STATE",1730866.04,1129780678.6,0
"862",2020,"Landmarks Preservation Commission","STATE",30000,6443032.81,0
"863",2020,"Mayoralty","FEDERAL - OTHER",2783950582.53,166829921.5,16.69
"864",2020,"Mayoralty","STATE",2754234.45,166829921.5,0.02
"865",2020,"Miscellaneous","FEDERAL - OTHER",195364,10644399005.15,0
"866",2020,"Miscellaneous","STATE",916424959.409999,10644399005.15,0.09
"867",2020,"Office of Administrative Trials and Hearings","FEDERAL - OTHER",0,NA,NA
"868",2020,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",166842.37,23725514.75,0.01
"869",2020,"Office of Prosecution - Special Narcotics","STATE",825000,23725514.75,0.03
"870",2020,"Police Department","FEDERAL - OTHER",237331962.22,6086159937.39002,0.04
"871",2020,"Police Department","STATE",65703144.64,6086159937.39002,0.01
"872",2021,"Administration for Children's Services","FEDERAL - OTHER",1129019264,2534107165.17001,0.45
"873",2021,"Administration for Children's Services","STATE",1434473149.75,2534107165.17001,0.57
"874",2021,"Board of Elections","FEDERAL - OTHER",-86210.8,230856908.56,0
"875",2021,"Board of Elections","STATE",5131606.99,230856908.56,0.02
"876",2021,"Borough President - Bronx","FEDERAL - OTHER",270790.91,4882388.27,0.06
"877",2021,"Borough President - Brooklyn","FEDERAL - OTHER",-1.09139364212751e-11,6669105.94,0
"878",2021,"Borough President - Brooklyn","STATE",163500,6669105.94,0.02
"879",2021,"Borough President - Queens","FEDERAL - OTHER",-105222.17,5916863.9,-0.02
"880",2021,"Business Integrity Commission","FEDERAL - OTHER",104169.67,8886497.67,0.01
"881",2021,"City University of New York","FEDERAL - OTHER",31164309.23,1159433541.02,0.03
"882",2021,"City University of New York","STATE",231044074,1159433541.02,0.2
"883",2021,"Commission on Human Rights","FEDERAL - OTHER",403000,11850909.85,0.03
"884",2021,"Commission on Human Rights","STATE",46687,11850909.85,0
"885",2021,"DEPT OF CONSUMER & WORKER PROTECTION","STATE",584169.2,5262.1,111.01
"886",2021,"Debt Service","FEDERAL - OTHER",180658292.61,8193149665,0.02
"887",2021,"Department for the Aging","FEDERAL - OTHER",69003559.56,355609624.53,0.19
"888",2021,"Department for the Aging","STATE",46385709.3599999,355609624.53,0.13
"889",2021,"Department of City Planning","FEDERAL - OTHER",2019516.48,38721183.3,0.05
"890",2021,"Department of City Planning","STATE",138591.32,38721183.3,0
"891",2021,"Department of Citywide Administrative Services","FEDERAL - OTHER",89225.66,1667487599.66,0
"892",2021,"Department of Citywide Administrative Services","STATE",70728184.31,1667487599.66,0.04
"893",2021,"Department of Consumer Affairs","STATE",1411368.09,42511190,0.03
"894",2021,"Department of Correction","FEDERAL - OTHER",134551.99,1259316506.15,0
"895",2021,"Department of Correction","STATE",3119636.3,1259316506.15,0
"896",2021,"Department of Education","FEDERAL - OTHER",2546805553.29,28542045211.87,0.09
"897",2021,"Department of Education","STATE",10665740021.2101,28542045211.87,0.37
"898",2021,"Department of Emergency Management","FEDERAL - OTHER",22648444.49,290910459.67,0.08
"899",2021,"Department of Emergency Management","STATE",20000,290910459.67,0
"900",2021,"Department of Environmental Protection","FEDERAL - OTHER",3930104.31,1411263670.66,0
"901",2021,"Department of Environmental Protection","STATE",865147.73,1411263670.66,0
"902",2021,"Department of Finance","STATE",75000,301066002.76,0
"903",2021,"Department of Health and Mental Hygiene","FEDERAL - OTHER",1143676038.09,2181317580.09999,0.52
"904",2021,"Department of Health and Mental Hygiene","STATE",651332393.18,2181317580.09999,0.3
"905",2021,"Department of Homeless Services","FEDERAL - OTHER",694194538.52,3044488823.95,0.23
"906",2021,"Department of Homeless Services","STATE",122367836.7,3044488823.95,0.04
"907",2021,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",1370244.22,970734324.73,0
"908",2021,"Department of Information Technology and Telecommunications","STATE",1521124.46,970734324.73,0
"909",2021,"Department of Parks and Recreation","FEDERAL - OTHER",266224.67,526873150.269999,0
"910",2021,"Department of Parks and Recreation","STATE",11689837.43,526873150.269999,0.02
"911",2021,"Department of Probation","FEDERAL - OTHER",17241.94,117492464.47,0
"912",2021,"Department of Probation","STATE",13410794.54,117492464.47,0.11
"913",2021,"Department of Records and Information Services","STATE",-120832,10986752.44,-0.01
"914",2021,"Department of Sanitation","FEDERAL - OTHER",225160,2378701805.28001,0
"915",2021,"Department of Sanitation","STATE",1394003.92,2378701805.28001,0
"916",2021,"Department of Small Business Services","FEDERAL - OTHER",43531509.85,227009746.45,0.19
"917",2021,"Department of Small Business Services","STATE",207360.25999999,227009746.45,0
"918",2021,"Department of Social Services","FEDERAL - OTHER",1577469744.2,10093484333.51,0.16
"919",2021,"Department of Social Services","STATE",746734837.88,10093484333.51,0.07
"920",2021,"Department of Transportation","FEDERAL - OTHER",79985602.04,1142413359.97001,0.07
"921",2021,"Department of Transportation","STATE",236167608.89,1142413359.97001,0.21
"922",2021,"Department of Veterans' Services","STATE",415000,NA,NA
"923",2021,"Department of Youth and Community Development","FEDERAL - OTHER",121376350.58,859388494.42,0.14
"924",2021,"Department of Youth and Community Development","STATE",6766580,859388494.42,0.01
"925",2021,"District Attorney - Bronx County","FEDERAL - OTHER",836738.18,92023311.96,0.01
"926",2021,"District Attorney - Bronx County","STATE",3953076.15,92023311.96,0.04
"927",2021,"District Attorney - New York County","FEDERAL - OTHER",865611.150000001,134995628.34,0.01
"928",2021,"District Attorney - New York County","STATE",11643283.95,134995628.34,0.09
"929",2021,"District Attorney - Queens County","FEDERAL - OTHER",1300695.76,75505034.17,0.02
"930",2021,"District Attorney - Queens County","STATE",4676548.84,75505034.17,0.06
"931",2021,"District Attorney -Kings County","FEDERAL - OTHER",2615715.42,121692646.42,0.02
"932",2021,"District Attorney -Kings County","STATE",3456975.4,121692646.42,0.03
"933",2021,"District Attorney -Richmond County","FEDERAL - OTHER",700029.53,19233771.72,0.04
"934",2021,"District Attorney -Richmond County","STATE",857934.7,19233771.72,0.04
"935",2021,"Fire Department","FEDERAL - OTHER",76520594.22,2235371940.83,0.03
"936",2021,"Fire Department","STATE",20115026.59,2235371940.83,0.01
"937",2021,"Health and Hospitals Corporation","FEDERAL - OTHER",173861.82,2522746531.17,0
"938",2021,"Housing Preservation and Development","FEDERAL - OTHER",655406273.320001,1129903291.16,0.58
"939",2021,"Housing Preservation and Development","STATE",2282550.28,1129903291.16,0
"940",2021,"Mayoralty","FEDERAL - OTHER",6609867294.06,149519901.98,44.21
"941",2021,"Mayoralty","STATE",3472266.02,149519901.98,0.02
"942",2021,"Miscellaneous","FEDERAL - OTHER",-902594.68,12281134765.7,0
"943",2021,"Miscellaneous","STATE",1011690643.84,12281134765.7,0.08
"944",2021,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",227864.94,25334300.32,0.01
"945",2021,"Office of Prosecution - Special Narcotics","STATE",788975.13,25334300.32,0.03
"946",2021,"Police Department","FEDERAL - OTHER",137319582.08,5547505265.52001,0.02
"947",2021,"Police Department","STATE",29874174.73,5547505265.52001,0.01
"948",2022,"Administration for Children's Services","FEDERAL - OTHER",977960819.230001,2646831899.58,0.37
"949",2022,"Administration for Children's Services","STATE",583392606.78,2646831899.58,0.22
"950",2022,"Borough President - Bronx","FEDERAL - OTHER",109209.94,5378196.81,0.02
"951",2022,"Borough President - Brooklyn","STATE",147400,8595518.00999999,0.02
"952",2022,"Borough President - Queens","FEDERAL - OTHER",104081,7076115.1,0.01
"953",2022,"Business Integrity Commission","FEDERAL - OTHER",4773.21000000002,8739046.92,0
"954",2022,"City Council","STATE",33057,73954289.51,0
"955",2022,"City University of New York","FEDERAL - OTHER",111358845.3,1231721427.05,0.09
"956",2022,"City University of New York","STATE",238055361,1231721427.05,0.19
"957",2022,"Commission on Human Rights","FEDERAL - OTHER",310600,11212638.89,0.03
"958",2022,"Commission on Human Rights","STATE",0,11212638.89,0
"959",2022,"DEPT OF CONSUMER & WORKER PROTECTION","STATE",1810149.7,59423394.06,0.03
"960",2022,"Debt Service","FEDERAL - OTHER",154546170.61,6295006129.59,0.02
"961",2022,"Department for the Aging","FEDERAL - OTHER",64516139.11,502583897.27,0.13
"962",2022,"Department for the Aging","STATE",47811361.15,502583897.27,0.1
"963",2022,"Department of City Planning","FEDERAL - OTHER",1765012.11,36445939.0399999,0.05
"964",2022,"Department of City Planning","STATE",229537.76,36445939.0399999,0.01
"965",2022,"Department of Citywide Administrative Services","FEDERAL - OTHER",129896.25,1532712083.22,0
"966",2022,"Department of Citywide Administrative Services","STATE",68881642.38,1532712083.22,0.04
"967",2022,"Department of Correction","FEDERAL - OTHER",144614.16,1391827960.99,0
"968",2022,"Department of Correction","STATE",3375938.43999999,1391827960.99,0
"969",2022,"Department of Design and Construction","FEDERAL - OTHER",15130863,201550635.000001,0.08
"970",2022,"Department of Education","FEDERAL - OTHER",4934931251.44,31558010299.61,0.16
"971",2022,"Department of Education","STATE",11986733496.47,31558010299.61,0.38
"972",2022,"Department of Emergency Management","FEDERAL - OTHER",22744702.62,675329142.74,0.03
"973",2022,"Department of Environmental Protection","FEDERAL - OTHER",3964237.27,1449906688.92,0
"974",2022,"Department of Environmental Protection","STATE",6583747.23,1449906688.92,0
"975",2022,"Department of Finance","STATE",0,301212859.09,0
"976",2022,"Department of Health and Mental Hygiene","FEDERAL - OTHER",735494536.929997,2613153773.15001,0.28
"977",2022,"Department of Health and Mental Hygiene","STATE",561724082.190001,2613153773.15001,0.21
"978",2022,"Department of Homeless Services","FEDERAL - OTHER",374037250.64,2732768473.2,0.14
"979",2022,"Department of Homeless Services","STATE",147376681.75,2732768473.2,0.05
"980",2022,"Department of Information Technology and Telecommunications","FEDERAL - OTHER",2690685.76,924479355.020001,0
"981",2022,"Department of Information Technology and Telecommunications","STATE",450197.44,924479355.020001,0
"982",2022,"Department of Investigation","FEDERAL - OTHER",1030548.75,49884135.77,0.02
"983",2022,"Department of Investigation","STATE",7424,49884135.77,0
"984",2022,"Department of Parks and Recreation","FEDERAL - OTHER",76399.61,588191443.779998,0
"985",2022,"Department of Parks and Recreation","STATE",-8822652.73,588191443.779998,-0.01
"986",2022,"Department of Probation","FEDERAL - OTHER",35787.71,113064208.11,0
"987",2022,"Department of Probation","STATE",13490146,113064208.11,0.12
"988",2022,"Department of Records and Information Services","FEDERAL - OTHER",0,12439326.22,0
"989",2022,"Department of Records and Information Services","STATE",120363,12439326.22,0.01
"990",2022,"Department of Sanitation","FEDERAL - OTHER",43633,2040331129.58,0
"991",2022,"Department of Sanitation","STATE",12198710.02,2040331129.58,0.01
"992",2022,"Department of Small Business Services","FEDERAL - OTHER",41430753.29,513199818.6,0.08
"993",2022,"Department of Small Business Services","STATE",-367179.669999976,513199818.6,0
"994",2022,"Department of Social Services","FEDERAL - OTHER",1298453920.88,10964992633.26,0.12
"995",2022,"Department of Social Services","STATE",701009902.870001,10964992633.26,0.06
"996",2022,"Department of Transportation","FEDERAL - OTHER",126934848.38,1235380909.34,0.1
"997",2022,"Department of Transportation","STATE",240200519.41,1235380909.34,0.19
"998",2022,"Department of Veterans' Services","STATE",0,NA,NA
"999",2022,"Department of Youth and Community Development","FEDERAL - OTHER",94888419.1700001,971567974.42,0.1
"1000",2022,"Department of Youth and Community Development","STATE",7071699,971567974.42,0.01
"1001",2022,"District Attorney - Bronx County","FEDERAL - OTHER",672827.99,97709663.33,0.01
"1002",2022,"District Attorney - Bronx County","STATE",3947248.07,97709663.33,0.04
"1003",2022,"District Attorney - New York County","FEDERAL - OTHER",1207895.18,152670563.8,0.01
"1004",2022,"District Attorney - New York County","STATE",8028541.13,152670563.8,0.05
"1005",2022,"District Attorney - Queens County","FEDERAL - OTHER",1530315.4,84283210.22,0.02
"1006",2022,"District Attorney - Queens County","STATE",939671.32,84283210.22,0.01
"1007",2022,"District Attorney -Kings County","FEDERAL - OTHER",1216350.38,124676677.91,0.01
"1008",2022,"District Attorney -Kings County","STATE",3848492.66,124676677.91,0.03
"1009",2022,"District Attorney -Richmond County","FEDERAL - OTHER",608844.99,21844800.43,0.03
"1010",2022,"District Attorney -Richmond County","STATE",1058218.5,21844800.43,0.05
"1011",2022,"Fire Department","FEDERAL - OTHER",75181925.54,2486019325.92,0.03
"1012",2022,"Fire Department","STATE",20202630.9,2486019325.92,0.01
"1013",2022,"Health and Hospitals Corporation","FEDERAL - OTHER",18175267.8,2269646553.69,0.01
"1014",2022,"Housing Preservation and Development","FEDERAL - OTHER",627452990.61,1194413950.64,0.53
"1015",2022,"Housing Preservation and Development","STATE",1189323.7,1194413950.64,0
"1016",2022,"Landmarks Preservation Commission","STATE",44406,6546020.13,0.01
"1017",2022,"Law Department","STATE",3845,264644717.96,0
"1018",2022,"Mayoralty","FEDERAL - OTHER",4044078652.38998,167096960.23,24.2
"1019",2022,"Mayoralty","STATE",4904085.44,167096960.23,0.03
"1020",2022,"Miscellaneous","FEDERAL - OTHER",2019213,14667947392.09,0
"1021",2022,"Miscellaneous","STATE",1130028886.83,14667947392.09,0.08
"1022",2022,"Office of Prosecution - Special Narcotics","FEDERAL - OTHER",72978.64,25802166.65,0
"1023",2022,"Office of Prosecution - Special Narcotics","STATE",783524.87,25802166.65,0.03
"1024",2022,"Police Department","FEDERAL - OTHER",185796960.519999,5881306127.82001,0.03
"1025",2022,"Police Department","STATE",27307215.91,5881306127.82001,0
"1026",2022,"Queens Borough Public Library","FEDERAL - OTHER",23774.39,122091321,0
"1027",2023,"Administration for Children's Services","FEDERAL - OTHER",1120941848.2,2988303983.69001,0.38
"1028",2023,"Administration for Children's Services","STATE",1239403746.56,2988303983.69001,0.41
"1029",2023,"Board of Elections","FEDERAL - OTHER",0,258013996.42,0
"1030",2023,"Board of Elections","STATE",12181197.76,258013996.42,0.05
"1031",2023,"Borough President - Bronx","FEDERAL - OTHER",194567.68,6303805.16,0.03
"1032",2023,"Borough President - Brooklyn","STATE",178600,7773937.4,0.02
